exercise_number,exercise_text,a,b,c,d,e,f,author,graphic
"3.193.*","Un solenoid de lungime $L$ şi rază $r$ este bobinat uniform cu $N_{1}$ spire. O a doua bobină cu $N_{2}$ spire este aşezată concentric în jurul solenoidului, la mijlocul acestuia. Factorul de proportionalitate între fluxul total prin a doua bobină datorat unui curent prin prima bobină (solenoid) şi valoarea acestui curent (această mărime poartă numele de inductanța mutuală $M$ a celor două bobine) este:\\","$\mu_{0} N_{1} \pi r^{2} / N_{2} L$","$\mu_{0} N_{1} N_{2} L$","$N_{1} N_{2} \pi r^{2} / L$","$\mu_{0} N_{1} N_{2} r^{2} / L$","$\mu_{0} N_{1} N_{2} \pi r^{2} / L$","$\mu_{0} N_{1} N_{2} 2 \pi r$","Ionuț Puică","N/A"
"3.194.*","Printr-o bobină trece un curent $I_{1}=2 \mathrm{~A}$. Intensitatea $I_{2}$ a curentului printr-o altă bobină, cu lungimea de 2 ori mai mare decât prima, celelalte elemente fiind aceleaşi, pentru a produce acelaşi flux magnetic este:\\","$1 \mathrm{~A}$","$0,5 \mathrm{~A}$","$4 \mathrm{~A}$","$2 \mathrm{~A}$","$5 \mathrm{~A}$","$0,5 \mathrm{~A}$","Marin Cilea","N/A"
"3.195.*","O bară conductoare de lungime $l=0,1 \mathrm{~m}$ alunecă cu o viteză $v=1 \mathrm{~m} / \mathrm{s}$ de-a lungul a două bare perfect conductoare, paralele, legate printr-un rezistor de rezistență $R=0,2 \Omega$. Sistemul este plasat într-un câmp magnetic uniform de inducție $B$, perpendicular pe planul barelor. Neglijând frecările, valoarea lui $B$ pentru ca prin bara mobilă să circule un curent de $1 \mathrm{~A}$ este:\\","$1 \mathrm{~T}$","$2 \mathrm{~T}$","$3 \mathrm{~T}$","$4 \mathrm{~T}$","$5 \mathrm{~T}$","$6 \mathrm{~T}$","Marin Cilea","N/A"
"3.196.*","O bară metalică de $2 \mathrm{~m}$ lungime cade paralel cu ea însăşi într-un câmp magnetic orizontal uniform cu inducția de $2 \cdot 10^{-5} \mathrm{~T}$ sub acțiunea greutății. Însă, datorită unei frânări, mişcarea sa devine uniformă, cu viteza de $10 \mathrm{~m} / \mathrm{s}$. Diferența de potential dintre capetele barei este:\\","$0,2 \mathrm{mV}$","$0,4 \mathrm{mV}$","$0,6 \mathrm{mV}$","$0,5 \mathrm{mV}$","$0,8 \mathrm{mV}$","$0,4 \mathrm{~V}$","Constantin Neguțu","N/A"
"3.197.*","Un electron cu o energie cinetică de $10 \mathrm{eV}\left(1 \mathrm{eV}=1,6 \cdot 10^{-19} \mathrm{~J}\right)$ se roteşte într-un câmp magnetic uniform de inducție $B=10^{-4} \mathrm{~T}$. ( $m_{0}=9,1 \cdot 10^{-31} \mathrm{~kg},|e|=1,6 \cdot 10^{-19} \mathrm{C}$ ). Raza traiectoriei şi perioada de rotație au valorile:\\","$R=5,3 \mathrm{~cm}, T=3,6 \cdot 10^{-7} \mathrm{~s}$","$R=10,7 \mathrm{~cm}, T=3,6 \cdot 10^{-7} \mathrm{~s}$","$R=20 \mathrm{~cm}, T=12 \cdot 10^{-6} \mathrm{~s}$","$R=15 \mathrm{~cm}, T=1 \mathrm{~s}$","$R=11,8 \mathrm{~cm}, T=3 \cdot 10^{-6} \mathrm{~s}$","$R=9 \mathrm{~cm}, T=3 \cdot 10^{-9} \mathrm{~s}$","Constantin Neguțu","N/A"
"3.198.*","Alegeți afirmația adevărată:\\","Câmpul magnetic al unui solenoid are liniile de câmp deschise","Inducția câmpului magnetic produs de un curent electric scade dacă intensitatea curentului creşte","La distanţă $r$ de un conductor rectiliniu, infinit, parcurs de un curent de intensitate $I$, inducţia magnetică este $B=\frac{\mu I}{2 r}$","Asupra unui conductor parcurs de un curent electric şi aşezat perpendicular pe liniile unui câmp magnetic exterior nu se exercită o forță electromagnetică","În centrul unei spire de rază $r$, parcursă de curentul de intensitate $I$, inducția magnetică este $B=\frac{\mu I}{2 \pi r}$","Pe axa unui solenoid subțire inducția magnetică este $B=\frac{\mu N I}{l}$","Constantin Neguțu","N/A"
"3.199.*","Forța exercitată asupra unui conductor având lungimea egalǎ cu $2 \mathrm{~cm}$ , parcurs de un curent de intensitate $I=10 \mathrm{~A}$ într-un câmp magnetic uniform de inducție $B=1 \mathrm{mT}$ atunci când conductorul este orientat: a) perpendicular; b) sub un unghi $\alpha=60^{\circ}$ față de câmp are valorile:\\","$4 \cdot 10^{-2} \mathrm{~N}, 2 \cdot 10^{-2} \mathrm{~N}$","$2 \cdot 10^{-2} \mathrm{~N}, 10^{-2} \mathrm{~N}$","$8 \cdot 10^{-2} \mathrm{~N}, 4 \cdot 10^{-2} \mathrm{~N}$","$4 \cdot 10^{-2} \mathrm{~N}, \sqrt{3} \cdot 10^{-2} \mathrm{~N}$","$2 \cdot 10^{-4} \mathrm{~N}, \sqrt{3} \cdot 10^{-4} \mathrm{~N}$","$\sqrt{3} \cdot 10^{-2} \mathrm{~N}, 2 \cdot 10^{-2} \mathrm{~N}$","Daniela Buzatu","N/A"
"3.200.*","O spiră circulară cu raza $r=4 \mathrm{~cm}$ şi rezistența $R=0,04 \Omega$ este plasată într-un câmp magnetic uniform de inducție $B=0,2 \mathrm{~T}$. Poziția inițială a spirei este paralelă cu liniile de câmp. Sarcina electrică ce trece prin spiră la rotirea ei cu unghiul $\alpha=30^{\circ}$ este:\\","$4 \pi \mathrm{mC}$","$\pi \mathrm{mC}$","$16 \pi \mathrm{mC}$","$2 \pi \mathrm{mC}$","$0,04 \pi \mathrm{mC}$","$0,1 \pi \mathrm{mC}$","Daniela Buzatu","N/A"
"3.201.*","Prin anularea uniformă a inducției câmpului magnetic uniform $B$, în intervalul $\Delta t=0,1 \mathrm{~s}$, se induce într-o bobină cu $N=1500$ spire, tensiunea electromotoare $e=15 \mathrm{~V}$. Fluxul magnetic $\Phi$ printr-o spiră a bobinei este egal cu:\\","$15 \cdot 10^{-3} \mathrm{~Wb}$","$0,1 \cdot 10^{-3} \mathrm{~Wb}$","$1 \cdot 10^{-3} \mathrm{~Wb}$","$1,5 \cdot 10^{-3} \mathrm{~Wb}$","$0,01 \cdot 10^{-3} \mathrm{~Wb}$","$0,15 \cdot 10^{-3} \mathrm{~Wb}$","Daniela Buzatu","N/A"
"3.202.*","Un ion bivalent se mişcă cu viteza $v=160 \mathrm{~km} / \mathrm{s}$ într-un câmp magnetic omogen de inducție $B=0,01 \mathrm{~T}$. Masa ionului, dacǎ el descrie un cerc de rază $R=10 \mathrm{~cm}$, este egală $\mathrm{cu}\left(e=1,6 \cdot 10^{-19} \mathrm{C}\right)$ :\\","$10^{-27} \mathrm{~kg}$","$0,5 \cdot 10^{-27} \mathrm{~kg}$","$2 \cdot 10^{-27} \mathrm{~kg}$","$4 \cdot 10^{-27} \mathrm{~kg}$","$16 \cdot 10^{-27} \mathrm{~kg}$","$8 \cdot 10^{-27} \mathrm{~kg}$","Daniela Buzatu","N/A"
"3.203.","Un bec cu tensiunea nominală $U=6 \mathrm{~V}$ şi puterea nominală $P=2 \mathrm{~W}$ trebuie alimentat de la o sursă de cc. cu t.e.m. $E=12 \mathrm{~V}$ şi rezistența internă neglijabilă. Să se calculeze rezistența rezistorului ce trebuie montat în circuit pentru ca becul să funcționeze normal.\\","$18 \Omega$","$28 \Omega$","$14 \Omega$","$1,8 \Omega$","$10 \Omega$","$12 \Omega$","Ioana Ivaşcu","N/A"
"3.204.","O baterie debitează pe un rezistor de rezistență $R_{1}=5 \Omega$ un curent de intensitate $I_{1}=0,8 \mathrm{~A}$. Inlocuind rezistorul cu un altul de rezistență $R_{2}=6 \Omega$ intensitatea curentului electric devine $I_{1}=0,6 \mathrm{~A}$. T.e.m. a bateriei are valoarea:\\","$2,4 \mathrm{~V}$","$2,6 \mathrm{~V}$","$1,4 \mathrm{~V}$","$1,8 \mathrm{~V}$","$1 \mathrm{~V}$","$1,2 \mathrm{~V}$","Ioana Ivaşcu","N/A"
"3.205.*","Un cadru metalic rigid, fară posibilități de rotire, ce delimitează o suprafață de arie $S$ se află într-un câmp magnetic uniform de inducție $B=a+b t$ ($T$), cu $a$ şi $b$ constante. T.e.m. indusă în cadru în unitatea de timp este:\\","$S b$","$S a$","$S a b$","$S b^{2}$","$S a^{2}$","$0 \mathrm{~T}$","Ioana Ivaşcu","N/A"
"3.206.","O baterie având t.e.m. $E$ şi rezistența internă $r$ dezvoltă pe un rezistor aceeaşi putere $P$, pentru două valori ale rezistenței acestuia $R_{1}$ şi $R_{2}$. Intensitatea curentului de scurtcircuit a sursei este:\\","$\frac{E}{\sqrt{R_{2}}} R_{1}$","$\frac{E^{2}}{\sqrt{R_{1} R_{2}}}$","$\frac{2 E}{\sqrt{R_{1} R_{2}}}$","$\frac{E}{\sqrt{R_{1} R_{2}}}$","$\frac{E}{\sqrt{2 R_{1} R_{2}}}$","$\frac{E}{\sqrt{R_{1}}} R_{1}$","Ioana Ivaşcu","N/A"
"3.207.","Cunoscând intensitatea curentului de scurtcircuit $I_{\mathrm{s}}$ a unei baterii, să se determine randamentul circuitului electric alimentat de această baterie, ştiind că intensitatea curentului electric prin circuit este $I$.\\","$\eta=1-\frac{I}{I_{s}}$","$\eta=1-\frac{I_{s}}{I}$","$\eta=1+\frac{I}{I_{s}}$","$\eta=\frac{I}{I_{s}}-1$","$\eta=1-\frac{2 I}{I_{s}}$","$\eta=1-\frac{I}{2 I_{s}}$","Ioana Ivaşcu","N/A"
"3.208.*","Un ion pozitiv cu sarcina $q$ intră într-un câmp magnetic având viteza $v$, după o direcție care face unghiul $\alpha$ cu direcția liniilor de câmp. Raza elicoidei descrise de mişcarea ionului este:\\","$\frac{m v \sin \alpha}{q B}$","$\frac{m v \sin \alpha}{2 q B}$","$\frac{m v^{2} \sin \alpha}{q B}$","$\frac{m v \cos \alpha}{q B}$","$\frac{m v \cos \alpha}{2 q B}$","$\frac{2 m v \sin \alpha}{q B}$","Ioana Ivaşcu","N/A"
"3.209.","Legând un rezistor de rezistentă $R$ la un generator de curent continuu tensiunea la borne este $U$. Înlocuind rezistorul cu un altul având rezistența de 4 ori mai mare tensiunea la borne creşte cu $n \%$. Să se determine t.e.m. a generatorului.\\","$E=\frac{3 U(n+1)}{3-n}$","$E=\frac{3 U(n-1)}{3-n}$","$E=\frac{4 U(n+1)}{3-n}$","$E=\frac{3 U(n+1)}{3-2 n}$","$E=\frac{U(n+1)}{3-n}$","$E=\frac{U(3 n+1)}{3-n}$","Ioana Ivaşcu","N/A"
